Item Code,Product Type,Image Url,FlowerWyz Image Url,COMMON
B9-4833,C,https://www.floristone.com/flowers/products/B9-4833.jpg,https://www.flowerwyz.com/images/send-flowers.jpg,1
B10-4355,C,https://www.floristone.com/flowers/products/B10-4355.jpg,https://www.flowerwyz.com/images/cheap-flower-delivery.jpg,2
B10-4368,C,https://www.floristone.com/flowers/products/B10-4368.jpg,https://www.flowerwyz.com/images/online-flowers.jpg,3
B10-4787,C,https://www.floristone.com/flowers/products/B10-4787.jpg,https://www.flowerwyz.com/images/flowers-delivered.jpg,4
B12-4421,C,https://www.floristone.com/flowers/products/B12-4421.jpg,https://www.flowerwyz.com/images/best-online-flowers.jpg,5
B13-4834,C,https://www.floristone.com/flowers/products/B13-4834.jpg,https://www.flowerwyz.com/images/best-flower-delivery.jpg,6
B14-4356,C,https://www.floristone.com/flowers/products/B14-4356.jpg,https://www.flowerwyz.com/images/cheap-flowers.jpg,7
B14-4426,C,https://www.floristone.com/flowers/products/B14-4426.jpg,https://www.flowerwyz.com/images/send-flowers-online.jpg,8
B14-4832,C,https://www.floristone.com/flowers/products/B14-4832.jpg,https://www.flowerwyz.com/images/flowers-delivery.png,9
B16-4830,C,https://www.floristone.com/flowers/products/B16-4830.jpg,https://www.flowerwyz.com/images/sending-flowers.jpg,10
B17-4362,C,https://www.floristone.com/flowers/products/B17-4362.jpg,https://www.flowerwyz.com/images/online-flower-delivery.jpg,11
B18-4374,C,https://www.floristone.com/flowers/products/B18-4374.jpg,https://www.flowerwyz.com/images/send-flowers-cheap.jpg,12
F1-116,B,https://www.floristone.com/flowers/products/bb_bb.jpg,https://www.flowerwyz.com/images/cheap-flowers-delivered.jpg,13
F1-CPP,P,https://www.floristone.com/flowers/products/F1-CPP.jpg,https://www.flowerwyz.com/images/flowers-for-delivery.jpg,14
B3-4347,C,https://www.floristone.com/flowers/products/B3-4347.jpg,https://www.flowerwyz.com/images/deliver-flowers.jpg,15
S7-4450,FA,https://www.floristone.com/flowers/products/S7-4450.jpg,https://www.flowerwyz.com/images/flowers-to-send.jpg,16
B23-4375,R,https://www.floristone.com/flowers/products/B23-4375.jpg,https://www.flowerwyz.com/images/cheap-flowers-online.jpg,17
FA302,FB,https://www.floristone.com/flowers/products/FA302.jpg,https://www.flowerwyz.com/images/flower-deliveries.jpg,18
AFS227,N,https://www.floristone.com/flowers/products/AFS227.jpg,https://www.flowerwyz.com/images/online-flower.jpg,19
F1-118,B,https://www.floristone.com/flowers/products/gw_bb.jpg,https://www.flowerwyz.com/images/cheapest-flower-delivery.jpg,20
D4-4898,N,https://www.floristone.com/flowers/products/D4-4898.jpg,https://www.flowerwyz.com/images/birthday-gifts-delivered.jpg,1000
D5-4894,O,https://www.floristone.com/flowers/products/D5-4894.jpg,https://www.flowerwyz.com/images/birthday-gifts-delivery.jpg,1000
D9-4913,V,https://www.floristone.com/flowers/products/D9-4913.jpg,https://www.flowerwyz.com/images/floral-arrangements.jpg,1000
C30-4572,X,https://www.floristone.com/flowers/products/C30-4572.jpg,https://www.flowerwyz.com/images/birthday-flower-delivery.jpg,1000
F1-509,P,https://www.floristone.com/flowers/products/F1-509.jpg,https://www.flowerwyz.com/files/discount-flower-delivery.jpg,1000
D9-4912,V,https://www.floristone.com/flowers/products/D9-4912.jpg,https://www.flowerwyz.com/images/florists.jpg,1000
E8-4816,R,https://www.floristone.com/flowers/products/E8-4816.jpg,https://www.flowerwyz.com/images/anniversary-flowers.jpg,1000
C12-4400,O,https://www.floristone.com/flowers/products/C12-4400.jpg,https://www.flowerwyz.com/images/floral-arrangement.jpg,1000
C13-4840,C,https://www.floristone.com/flowers/products/C13-4840.jpg,https://www.flowerwyz.com/images/birthday-gifts-for-mom.jpg,1000
C30-4571,X,https://www.floristone.com/flowers/products/C30-4571.jpg,https://www.flowerwyz.com/images/birthday-gift-basket.jpg,1000
AFS250,O,https://www.floristone.com/flowers/products/AFS250.jpg,https://www.flowerwyz.com/files/flower-coupons.jpg,1000
fam123,B,https://www.floristone.com/flowers/products/toy_bb.jpg,https://www.flowerwyz.com/images/get-well-balloon.jpg,1000
D9-4911,V,https://www.floristone.com/flowers/products/D9-4911.jpg,https://www.flowerwyz.com/images/floral-shop.jpg,1000
E8-4812,R,https://www.floristone.com/flowers/products/E8-4812.jpg,https://www.flowerwyz.com/images/rose-bouquet.jpg,1000
S9-4454,P,https://www.floristone.com/flowers/products/S9-4454.jpg,https://www.flowerwyz.com/images/we-will-miss-you.jpg,1000
C12-3434,C,https://www.floristone.com/flowers/products/C12-3434.jpg,https://www.flowerwyz.com/images/anniversary-flower-delivery.jpg,1000
S29-4503,FA,https://www.floristone.com/flowers/products/S29-4503.jpg,https://www.flowerwyz.com/images/funeral-flowers.jpg,1000
AFS253,N,https://www.floristone.com/flowers/products/AFS253.jpg,https://www.flowerwyz.com/images/spring-floral-arrangements.jpg,1000
F1-121,B,https://www.floristone.com/flowers/products/lr_bb.jpg,https://www.flowerwyz.com/images/romantic-balloon-bouquet.jpg,1000
F1-228,FB,https://www.floristone.com/flowers/products/F1-228.jpg,https://www.flowerwyz.com/images/flowers-for-funeral.jpg,1000
F1-252,O,https://www.floristone.com/flowers/products/F1-252.jpg,https://www.flowerwyz.com/files/discount-flowers.jpg,1000
F1-407,P,https://www.floristone.com/flowers/products/F1-407.jpg,https://www.flowerwyz.com/images/funeral-flower-arrangements.jpg,1000
E8-4810,R,https://www.floristone.com/flowers/products/E8-4810.jpg,https://www.flowerwyz.com/images/valentines-day-flower-delivery.jpg,1000
B30-4433,C,https://www.floristone.com/flowers/products/B30-4433.jpg,https://www.flowerwyz.com/images/centerpieces.jpg,1000
C11-4841,V,https://www.floristone.com/flowers/products/C11-4841.jpg,https://www.flowerwyz.com/images/florist-delivery.jpg,1000
AFS241,O,https://www.floristone.com/flowers/products/AFS241.jpg,https://www.flowerwyz.com/images/florists-online.jpg,1000
F1-205,P,https://www.floristone.com/flowers/products/F1-205.jpg,https://www.flowerwyz.com/images/plant-delivery.jpg,1000
D7-4904,B,https://www.floristone.com/flowers/products/D7-4904.jpg,https://www.flowerwyz.com/images/balloon-flowers-bouquet.jpg,1000
E8-4304,R,https://www.floristone.com/flowers/products/E8-4304.jpg,https://www.flowerwyz.com/images/anniversary-flower.jpg,1000
C11-4806,V,https://www.floristone.com/flowers/products/C11-4806.jpg,https://www.flowerwyz.com/images/best-online-florist.jpg,1000
C17-4329,C,https://www.floristone.com/flowers/products/C17-4329.jpg,https://www.flowerwyz.com/images/online-birthday-deliveries.jpg,1000
S40-4529,FA,https://www.floristone.com/flowers/products/S40-4529.jpg,https://www.flowerwyz.com/images/eternal-sunshine-of-heaven.jpg,1000
F1-318,FB,https://www.floristone.com/flowers/products/F1-318.jpg,https://www.flowerwyz.com/images/flower-arrangements-for-funerals.jpg,1000
T22-3A,O,https://www.floristone.com/flowers/products/T22-3A.jpg,https://www.flowerwyz.com/images/birthday-delivery-flower.jpg,1000
B7-4786,V,https://www.floristone.com/flowers/products/B7-4786.jpg,https://www.flowerwyz.com/images/florists-bouquets.jpg,1000
D7-4903,B,https://www.floristone.com/flowers/products/D7-4903.jpg,https://www.flowerwyz.com/images/balloon-bouquet-delivery.jpg,1000
E7-4824,R,https://www.floristone.com/flowers/products/E7-4824.jpg,https://www.flowerwyz.com/images/valentine-flower-delivery.jpg,1000
C10-4857,C,https://www.floristone.com/flowers/products/C10-4857.jpg,https://www.flowerwyz.com/images/flowers-for-valentine.jpg,1000
T43-1A,O,https://www.floristone.com/flowers/products/T43-1A.jpg,https://www.flowerwyz.com/images/cheap-floral-arrangements.jpg,1000
fam006,B,https://www.floristone.com/flowers/products/9008.jpg,https://www.flowerwyz.com/images/balloon-bouquets.jpg,1000
B7-4781,V,https://www.floristone.com/flowers/products/B7-4781.jpg,https://www.flowerwyz.com/images/floral.jpg,1000
C3-4406,C,https://www.floristone.com/flowers/products/C3-4406.jpg,https://www.flowerwyz.com/images/table-centerpieces.jpg,1000
E7-4808,R,https://www.floristone.com/flowers/products/E7-4808.jpg,https://www.flowerwyz.com/images/rose-bouquets.jpg,1000
C27-4527,P,https://www.floristone.com/flowers/products/C27-4527.jpg,https://www.flowerwyz.com/images/get-well-gift-baskets.jpg,1000
S42-4420,FA,https://www.floristone.com/flowers/products/S42-4420.jpg,https://www.flowerwyz.com/images/funeral-floral-arrangements.jpg,1000
F1-229,B,https://www.floristone.com/flowers/products/F1-229.jpg,https://www.flowerwyz.com/images/balloon-bouquets-delivered.jpg,1000
T36-1A,O,https://www.floristone.com/flowers/products/T36-1A.jpg,https://www.flowerwyz.com/images/unique-floral-arrangements.jpg,1000
B4-4785,V,https://www.floristone.com/flowers/products/B4-4785.jpg,https://www.flowerwyz.com/images/florist-shop.jpg,1000
B6-4827,C,https://www.floristone.com/flowers/products/B6-4827.jpg,https://www.flowerwyz.com/images/anniversary-gift-baskets.jpg,1000
E6-4821,R,https://www.floristone.com/flowers/products/E6-4821.jpg,https://www.flowerwyz.com/images/anniversary-flower-online.jpg,1000
C23-4886,P,https://www.floristone.com/flowers/products/C23-4886.jpg,https://www.flowerwyz.com/images/send-a-plant.jpg,1000
S46-4551,FB,https://www.floristone.com/flowers/products/S46-4551.jpg,https://www.flowerwyz.com/images/a-starlit-waterway.jpg,1000
AFS334,P,https://www.floristone.com/flowers/products/AFS334.jpg,https://www.flowerwyz.com/images/for-an-immortal-journey.jpg,1000
F1-117,B,https://www.floristone.com/flowers/products/bg_bb.jpg,,1000
B4-4114,V,https://www.floristone.com/flowers/products/B4-4114.jpg,https://www.flowerwyz.com/images/floral-delivery.jpg,1000
E4-4822,R,https://www.floristone.com/flowers/products/E4-4822.jpg,https://www.flowerwyz.com/images/anniversary-flowers-online.jpg,1000
S3-4440,FA,https://www.floristone.com/flowers/products/S3-4440.jpg,https://www.flowerwyz.com/images/cheap-funeral-flowers.jpg,1000
T174-1A,O,https://www.floristone.com/flowers/products/T174-1A.jpg,https://www.flowerwyz.com/images/large-floral-arrangements.jpg,1000
C15-4856,C,https://www.floristone.com/flowers/products/C15-4856.jpg,https://www.flowerwyz.com/images/cheap-valentines-day-flowers.jpg,1000
F1-119,B,https://www.floristone.com/flowers/products/ha_bb.jpg,https://www.flowerwyz.com/images/10th-anniversary-flowers.jpg,1000
F1-343,FB,https://www.floristone.com/flowers/products/F1-343.jpg,https://www.flowerwyz.com/images/funeral-flower.jpg,1000
B3-4921,V,https://www.floristone.com/flowers/products/B3-4921.jpg,https://www.flowerwyz.com/images/tropical-floral-arrangements.jpg,1000
D4-4038,C,https://www.floristone.com/flowers/products/D4-4038.jpg,https://www.flowerwyz.com/images/birthday-flowers-delivery.jpg,1000
E4-4820,R,https://www.floristone.com/flowers/products/E4-4820.jpg,https://www.flowerwyz.com/images/roses-bouquet.jpg,1000
T173-2A,O,https://www.floristone.com/flowers/products/T173-2A.jpg,https://www.flowerwyz.com/images/dried-floral-arrangements.jpg,1000
S25-4493,P,https://www.floristone.com/flowers/products/S25-4493.jpg,https://www.flowerwyz.com/images/plants-as-gifts.jpg,1000
AFS255,B,https://www.floristone.com/flowers/products/AFS255.jpg,,1000
B3-4420,V,https://www.floristone.com/flowers/products/B3-4420.jpg,https://www.flowerwyz.com/images/online-florist.jpg,1000
C5-4847,C,https://www.floristone.com/flowers/products/C5-4847.jpg,https://www.flowerwyz.com/images/centerpiece-ideas.jpg,1000
E4-4819,R,https://www.floristone.com/flowers/products/E4-4819.jpg,https://www.flowerwyz.com/images/wedding-anniversary-gifts.jpg,1000
T173-1A,O,https://www.floristone.com/flowers/products/T173-1A.jpg,https://www.flowerwyz.com/images/cheap-florist-flowers.jpg,1000
T212-2A,P,https://www.floristone.com/flowers/products/T212-2A.jpg,https://www.flowerwyz.com/images/plants-delivered.jpg,1000
S45-4544,FB,https://www.floristone.com/flowers/products/S45-4544.jpg,https://www.flowerwyz.com/images/order-flowers-for-funeral.jpg,1000
F1-120,B,https://www.floristone.com/flowers/products/hb_bb.jpg,https://www.flowerwyz.com/images/birthday-baskets-online.jpg,1000
T90-1A,P,https://www.floristone.com/flowers/products/T90-1A.jpg,https://www.flowerwyz.com/images/send-plants.jpg,1000
C3-4848,C,https://www.floristone.com/flowers/products/C3-4848.jpg,https://www.flowerwyz.com/images/anniversary-gift-basket.jpg,1000
E4-4809,R,https://www.floristone.com/flowers/products/E4-4809.jpg,https://www.flowerwyz.com/images/flowers-for-anniversary.jpg,1000
S9-4456,FA,https://www.floristone.com/flowers/products/S9-4456.jpg,https://www.flowerwyz.com/images/sympathy-gift-ideas.jpg,1000
T163-1A,O,https://www.floristone.com/flowers/products/T163-1A.jpg,https://www.flowerwyz.com/images/next-day-flower-delivery.jpg,1000
B30-4434,V,https://www.floristone.com/flowers/products/B30-4434.jpg,https://www.flowerwyz.com/images/florist-supplies.jpg,1000
B4-4338,C,https://www.floristone.com/flowers/products/B4-4338.jpg,https://www.flowerwyz.com/images/sending-birthday-flowers.jpg,1000
E3-4811,R,https://www.floristone.com/flowers/products/E3-4811.jpg,https://www.flowerwyz.com/images/anniversary-gift-ideas.jpg,1000
T132-2A,O,https://www.floristone.com/flowers/products/T132-2A.jpg,https://www.flowerwyz.com/images/flowers-delivered-tomorrow.jpg,1000
T212-3A,P,https://www.floristone.com/flowers/products/T212-3A.jpg,https://www.flowerwyz.com/images/rare-plants.jpg,1000
B30-4341,V,https://www.floristone.com/flowers/products/B30-4341.jpg,https://www.flowerwyz.com/images/next-day-flowers.jpg,1000
